"Statistic","Year","Local Government District","Pay Rate","Working Pattern","All Persons","Females","Males"
"Number of Jobs (Thousands)",2024,"Ards and North Down","Weekly","Full-Time",33,16,17
"Number of Jobs (Thousands)",2024,"Ards and North Down","Weekly","Part-Time",24,18,6
"Number of Jobs (Thousands)",2025,"Northern Ireland","Hourly (excluding overtime)","All",1119,587,531
"Number of Jobs (Thousands)",2025,"Northern Ireland","Hourly (excluding overtime)","Full-Time",787,343,444
"Number of Jobs (Thousands)",2025,"Northern Ireland","Hourly (excluding overtime)","Part-Time",332,245,87
"Number of Jobs (Thousands)",2025,"Northern Ireland","Weekly","All",1119,587,531
"Number of Jobs (Thousands)",2025,"Northern Ireland","Weekly","Full-Time",787,343,444
"Number of Jobs (Thousands)",2025,"Northern Ireland","Weekly","Part-Time",332,245,87
"Number of Jobs (Thousands)",2025,"Antrim and Newtownabbey","Hourly (excluding overtime)","All",76,39,37
"Number of Jobs (Thousands)",2025,"Antrim and Newtownabbey","Hourly (excluding overtime)","Full-Time",55,23,32
"Number of Jobs (Thousands)",2025,"Antrim and Newtownabbey","Hourly (excluding overtime)","Part-Time",21,16,NA
"Number of Jobs (Thousands)",2025,"Antrim and Newtownabbey","Weekly","All",76,39,37
"Number of Jobs (Thousands)",2025,"Antrim and Newtownabbey","Weekly","Full-Time",55,23,32
"Number of Jobs (Thousands)",2025,"Antrim and Newtownabbey","Weekly","Part-Time",21,16,NA
"Number of Jobs (Thousands)",2025,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","All",119,65,54
"Number of Jobs (Thousands)",2025,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Full-Time",83,38,45
"Number of Jobs (Thousands)",2025,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Part-Time",36,27,9
"Number of Jobs (Thousands)",2025,"Armagh City, Banbridge and Craigavon","Weekly","All",119,65,54
"Number of Jobs (Thousands)",2025,"Armagh City, Banbridge and Craigavon","Weekly","Full-Time",83,38,45
"Number of Jobs (Thousands)",2025,"Armagh City, Banbridge and Craigavon","Weekly","Part-Time",36,27,9
"Number of Jobs (Thousands)",2025,"Belfast","Hourly (excluding overtime)","All",353,181,173
"Number of Jobs (Thousands)",2025,"Belfast","Hourly (excluding overtime)","Full-Time",268,119,148
"Number of Jobs (Thousands)",2025,"Belfast","Hourly (excluding overtime)","Part-Time",86,61,24
"Number of Jobs (Thousands)",2025,"Belfast","Weekly","All",353,181,173
"Number of Jobs (Thousands)",2025,"Belfast","Weekly","Full-Time",268,119,148
"Number of Jobs (Thousands)",2025,"Belfast","Weekly","Part-Time",86,61,24
"Number of Jobs (Thousands)",2025,"Causeway Coast and Glens","Hourly (excluding overtime)","All",60,33,27
"Number of Jobs (Thousands)",2025,"Causeway Coast and Glens","Hourly (excluding overtime)","Full-Time",36,16,20
"Number of Jobs (Thousands)",2025,"Causeway Coast and Glens","Hourly (excluding overtime)","Part-Time",23,17,7
"Number of Jobs (Thousands)",2025,"Causeway Coast and Glens","Weekly","All",60,33,27
"Number of Jobs (Thousands)",2025,"Causeway Coast and Glens","Weekly","Full-Time",36,16,20
"Number of Jobs (Thousands)",2025,"Causeway Coast and Glens","Weekly","Part-Time",23,17,7
"Number of Jobs (Thousands)",2025,"Derry City and Strabane","Hourly (excluding overtime)","All",80,44,37
"Number of Jobs (Thousands)",2025,"Derry City and Strabane","Hourly (excluding overtime)","Full-Time",55,25,30
"Number of Jobs (Thousands)",2025,"Derry City and Strabane","Hourly (excluding overtime)","Part-Time",25,19,6
"Number of Jobs (Thousands)",2025,"Derry City and Strabane","Weekly","All",80,44,37
"Number of Jobs (Thousands)",2025,"Derry City and Strabane","Weekly","Full-Time",55,25,30
"Number of Jobs (Thousands)",2025,"Derry City and Strabane","Weekly","Part-Time",25,19,6
"Number of Jobs (Thousands)",2025,"Fermanagh and Omagh","Hourly (excluding overtime)","All",60,31,29
"Number of Jobs (Thousands)",2025,"Fermanagh and Omagh","Hourly (excluding overtime)","Full-Time",40,16,24
"Number of Jobs (Thousands)",2025,"Fermanagh and Omagh","Hourly (excluding overtime)","Part-Time",20,15,NA
"Number of Jobs (Thousands)",2025,"Fermanagh and Omagh","Weekly","All",60,31,29
"Number of Jobs (Thousands)",2025,"Fermanagh and Omagh","Weekly","Full-Time",40,16,24
"Number of Jobs (Thousands)",2025,"Fermanagh and Omagh","Weekly","Part-Time",20,15,NA
"Number of Jobs (Thousands)",2025,"Lisburn and Castlereagh","Hourly (excluding overtime)","All",85,46,39
"Number of Jobs (Thousands)",2025,"Lisburn and Castlereagh","Hourly (excluding overtime)","Full-Time",58,26,32
"Number of Jobs (Thousands)",2025,"Lisburn and Castlereagh","Hourly (excluding overtime)","Part-Time",27,20,7
"Number of Jobs (Thousands)",2025,"Lisburn and Castlereagh","Weekly","All",85,46,39
"Number of Jobs (Thousands)",2025,"Lisburn and Castlereagh","Weekly","Full-Time",58,26,32
"Number of Jobs (Thousands)",2025,"Lisburn and Castlereagh","Weekly","Part-Time",27,20,7
"Number of Jobs (Thousands)",2025,"Mid and East Antrim","Hourly (excluding overtime)","All",60,30,30
"Number of Jobs (Thousands)",2025,"Mid and East Antrim","Hourly (excluding overtime)","Full-Time",43,17,26
"Number of Jobs (Thousands)",2025,"Mid and East Antrim","Hourly (excluding overtime)","Part-Time",17,13,NA
"Number of Jobs (Thousands)",2025,"Mid and East Antrim","Weekly","All",60,30,30
"Number of Jobs (Thousands)",2025,"Mid and East Antrim","Weekly","Full-Time",43,17,26
"Number of Jobs (Thousands)",2025,"Mid and East Antrim","Weekly","Part-Time",17,13,NA
"Number of Jobs (Thousands)",2025,"Mid Ulster","Hourly (excluding overtime)","All",73,34,39
"Number of Jobs (Thousands)",2025,"Mid Ulster","Hourly (excluding overtime)","Full-Time",52,19,34
"Number of Jobs (Thousands)",2025,"Mid Ulster","Hourly (excluding overtime)","Part-Time",20,15,NA
"Number of Jobs (Thousands)",2025,"Mid Ulster","Weekly","All",73,34,39
"Number of Jobs (Thousands)",2025,"Mid Ulster","Weekly","Full-Time",52,19,34
"Number of Jobs (Thousands)",2025,"Mid Ulster","Weekly","Part-Time",20,15,NA
"Number of Jobs (Thousands)",2025,"Newry, Mourne and Down","Hourly (excluding overtime)","All",78,47,31
"Number of Jobs (Thousands)",2025,"Newry, Mourne and Down","Hourly (excluding overtime)","Full-Time",46,22,24
"Number of Jobs (Thousands)",2025,"Newry, Mourne and Down","Hourly (excluding overtime)","Part-Time",32,24,7
"Number of Jobs (Thousands)",2025,"Newry, Mourne and Down","Weekly","All",78,47,31
"Number of Jobs (Thousands)",2025,"Newry, Mourne and Down","Weekly","Full-Time",46,22,24
"Number of Jobs (Thousands)",2025,"Newry, Mourne and Down","Weekly","Part-Time",32,24,7
"Number of Jobs (Thousands)",2025,"Ards and North Down","Hourly (excluding overtime)","All",60,34,25
"Number of Jobs (Thousands)",2025,"Ards and North Down","Hourly (excluding overtime)","Full-Time",35,17,18
"Number of Jobs (Thousands)",2025,"Ards and North Down","Hourly (excluding overtime)","Part-Time",25,17,8
"Number of Jobs (Thousands)",2025,"Ards and North Down","Weekly","All",60,34,25
"Number of Jobs (Thousands)",2025,"Ards and North Down","Weekly","Full-Time",35,17,18
"Number of Jobs (Thousands)",2025,"Ards and North Down","Weekly","Part-Time",25,17,8
"Median Wage",2014,"Northern Ireland","Hourly (excluding overtime)","All",10.12,9.59,10.74
"Median Wage",2014,"Northern Ireland","Hourly (excluding overtime)","Full-Time",11.36,11.45,11.32
"Median Wage",2014,"Northern Ireland","Hourly (excluding overtime)","Part-Time",7.96,8.05,7.63
"Median Wage",2014,"Northern Ireland","Weekly","All",363.1,295.8,424.5
"Median Wage",2014,"Northern Ireland","Weekly","Full-Time",460,444.3,471.7
"Median Wage",2014,"Northern Ireland","Weekly","Part-Time",154.2,157.7,151.2
"Median Wage",2014,"Antrim and Newtownabbey","Hourly (excluding overtime)","All",10.34,10.29,10.39
"Median Wage",2014,"Antrim and Newtownabbey","Hourly (excluding overtime)","Full-Time",11.11,12.55,10.87
"Median Wage",2014,"Antrim and Newtownabbey","Hourly (excluding overtime)","Part-Time",8.23,8.52,7.7
"Median Wage",2014,"Antrim and Newtownabbey","Weekly","All",367.3,347.1,410.2
"Median Wage",2014,"Antrim and Newtownabbey","Weekly","Full-Time",472.3,485.7,450.4
"Median Wage",2014,"Antrim and Newtownabbey","Weekly","Part-Time",158.8,166.1,NA
"Median Wage",2014,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","All",9.41,9.28,9.69
"Median Wage",2014,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Full-Time",10.69,11.37,10.2
"Median Wage",2014,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Part-Time",7.8,7.99,6.84
"Median Wage",2014,"Armagh City, Banbridge and Craigavon","Weekly","All",344.9,285.4,392.6
"Median Wage",2014,"Armagh City, Banbridge and Craigavon","Weekly","Full-Time",429.7,432.1,425.2
"Median Wage",2014,"Armagh City, Banbridge and Craigavon","Weekly","Part-Time",157.5,169.3,141
"Median Wage",2014,"Belfast","Hourly (excluding overtime)","All",11.78,11.03,12.42
"Median Wage",2014,"Belfast","Hourly (excluding overtime)","Full-Time",12.68,12.37,12.99
"Median Wage",2014,"Belfast","Hourly (excluding overtime)","Part-Time",9.19,9.05,9.56
"Median Wage",2014,"Belfast","Weekly","All",422.8,339,474.8
"Median Wage",2014,"Belfast","Weekly","Full-Time",503.5,479.1,519.4
"Median Wage",2014,"Belfast","Weekly","Part-Time",185.7,185.7,185.7
"Median Wage",2014,"Causeway Coast and Glens","Hourly (excluding overtime)","All",8.24,8.22,8.24
"Median Wage",2014,"Causeway Coast and Glens","Hourly (excluding overtime)","Full-Time",9.25,9.95,8.71
"Median Wage",2014,"Causeway Coast and Glens","Hourly (excluding overtime)","Part-Time",7.11,7.11,6.98
"Median Wage",2014,"Causeway Coast and Glens","Weekly","All",293.3,278.9,323.3
"Median Wage",2014,"Causeway Coast and Glens","Weekly","Full-Time",394.2,380.8,397.7
"Median Wage",2014,"Causeway Coast and Glens","Weekly","Part-Time",124.2,114.3,130.4
"Median Wage",2014,"Derry City and Strabane","Hourly (excluding overtime)","All",11,12.16,9.66
"Median Wage",2014,"Derry City and Strabane","Hourly (excluding overtime)","Full-Time",11.38,12.5,10.17
"Median Wage",2014,"Derry City and Strabane","Hourly (excluding overtime)","Part-Time",9.03,11.04,NA
"Median Wage",2014,"Derry City and Strabane","Weekly","All",346.2,332.8,352
"Median Wage",2014,"Derry City and Strabane","Weekly","Full-Time",447.5,459.7,421.9
"Median Wage",2014,"Derry City and Strabane","Weekly","Part-Time",173.4,179.8,147
"Median Wage",2014,"Fermanagh and Omagh","Hourly (excluding overtime)","All",8.71,8.36,9.33
"Median Wage",2014,"Fermanagh and Omagh","Hourly (excluding overtime)","Full-Time",9.92,10.35,9.6
"Median Wage",2014,"Fermanagh and Omagh","Hourly (excluding overtime)","Part-Time",7.1,7.21,6.6
"Median Wage",2014,"Fermanagh and Omagh","Weekly","All",299.2,248.2,380.4
"Median Wage",2014,"Fermanagh and Omagh","Weekly","Full-Time",418,414.6,428.3
"Median Wage",2014,"Fermanagh and Omagh","Weekly","Part-Time",126.5,133.1,119.7
"Median Wage",2014,"Lisburn and Castlereagh","Hourly (excluding overtime)","All",9.1,8.69,9.67
"Median Wage",2014,"Lisburn and Castlereagh","Hourly (excluding overtime)","Full-Time",9.93,9.77,9.93
"Median Wage",2014,"Lisburn and Castlereagh","Hourly (excluding overtime)","Part-Time",7.45,7.56,NA
"Median Wage",2014,"Lisburn and Castlereagh","Weekly","All",319.3,246.3,387.3
"Median Wage",2014,"Lisburn and Castlereagh","Weekly","Full-Time",428.2,402.5,431.8
"Median Wage",2014,"Lisburn and Castlereagh","Weekly","Part-Time",153,151,153
"Median Wage",2014,"Mid and East Antrim","Hourly (excluding overtime)","All",10.01,9.1,11
"Median Wage",2014,"Mid and East Antrim","Hourly (excluding overtime)","Full-Time",11.27,10.94,11.59
"Median Wage",2014,"Mid and East Antrim","Hourly (excluding overtime)","Part-Time",7.91,7.91,7.64
"Median Wage",2014,"Mid and East Antrim","Weekly","All",363.5,281.8,438.2
"Median Wage",2014,"Mid and East Antrim","Weekly","Full-Time",456.4,421.6,477
"Median Wage",2014,"Mid and East Antrim","Weekly","Part-Time",167,168.3,153.4
"Median Wage",2014,"Mid Ulster","Hourly (excluding overtime)","All",8.93,8.08,9.25
"Median Wage",2014,"Mid Ulster","Hourly (excluding overtime)","Full-Time",9.49,9.65,9.44
"Median Wage",2014,"Mid Ulster","Hourly (excluding overtime)","Part-Time",7.44,7.24,7.45
"Median Wage",2014,"Mid Ulster","Weekly","All",325.7,256,379.1
"Median Wage",2014,"Mid Ulster","Weekly","Full-Time",408,340.2,417.1
"Median Wage",2014,"Mid Ulster","Weekly","Part-Time",135.3,130.9,142.4
"Median Wage",2014,"Newry, Mourne and Down","Hourly (excluding overtime)","All",9.05,7.93,9.6
"Median Wage",2014,"Newry, Mourne and Down","Hourly (excluding overtime)","Full-Time",9.77,9.42,10.01
"Median Wage",2014,"Newry, Mourne and Down","Hourly (excluding overtime)","Part-Time",7.33,7.21,7.49
"Median Wage",2014,"Newry, Mourne and Down","Weekly","All",317.9,243.5,363.7
"Median Wage",2014,"Newry, Mourne and Down","Weekly","Full-Time",411.9,383.8,435.7
"Median Wage",2014,"Newry, Mourne and Down","Weekly","Part-Time",150.3,148,159.4
"Median Wage",2014,"Ards and North Down","Hourly (excluding overtime)","All",9.39,9.02,9.95
"Median Wage",2014,"Ards and North Down","Hourly (excluding overtime)","Full-Time",10.92,10.54,11.03
"Median Wage",2014,"Ards and North Down","Hourly (excluding overtime)","Part-Time",7.57,7.52,7.53
"Median Wage",2014,"Ards and North Down","Weekly","All",316.3,220.5,390.2
"Median Wage",2014,"Ards and North Down","Weekly","Full-Time",425.6,411.8,448.9
"Median Wage",2014,"Ards and North Down","Weekly","Part-Time",136.5,139.1,NA
"Median Wage",2015,"Northern Ireland","Hourly (excluding overtime)","All",10.54,9.86,11.17
"Median Wage",2015,"Northern Ireland","Hourly (excluding overtime)","Full-Time",11.97,12.08,11.9
"Median Wage",2015,"Northern Ireland","Hourly (excluding overtime)","Part-Time",8.04,8.13,7.87
"Median Wage",2015,"Northern Ireland","Weekly","All",381.9,310.2,446.4
"Median Wage",2015,"Northern Ireland","Weekly","Full-Time",484.7,459.9,498.3
"Median Wage",2015,"Northern Ireland","Weekly","Part-Time",162.5,168.1,153.7
"Median Wage",2015,"Antrim and Newtownabbey","Hourly (excluding overtime)","All",10.92,9.93,11.24
"Median Wage",2015,"Antrim and Newtownabbey","Hourly (excluding overtime)","Full-Time",11.78,11.87,11.78
"Median Wage",2015,"Antrim and Newtownabbey","Hourly (excluding overtime)","Part-Time",8.01,8.31,6.82
"Median Wage",2015,"Antrim and Newtownabbey","Weekly","All",379.9,321.3,472.4
"Median Wage",2015,"Antrim and Newtownabbey","Weekly","Full-Time",489,444.3,514
"Median Wage",2015,"Antrim and Newtownabbey","Weekly","Part-Time",169.6,177.1,NA
"Median Wage",2015,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","All",9.61,8.85,10.1
"Median Wage",2015,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Full-Time",10.59,10.67,10.53
"Median Wage",2015,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Part-Time",8,7.93,8.25
"Median Wage",2015,"Armagh City, Banbridge and Craigavon","Weekly","All",347.1,274.4,412.1
"Median Wage",2015,"Armagh City, Banbridge and Craigavon","Weekly","Full-Time",442.9,411.9,454.4
"Median Wage",2015,"Armagh City, Banbridge and Craigavon","Weekly","Part-Time",155,161.7,138.9
"Median Wage",2015,"Belfast","Hourly (excluding overtime)","All",12.44,11.51,13.39
"Median Wage",2015,"Belfast","Hourly (excluding overtime)","Full-Time",13.79,13.62,13.96
"Median Wage",2015,"Belfast","Hourly (excluding overtime)","Part-Time",8.91,8.91,8.5
"Median Wage",2015,"Belfast","Weekly","All",456.3,377,507.9
"Median Wage",2015,"Belfast","Weekly","Full-Time",538,507.4,564.8
"Median Wage",2015,"Belfast","Weekly","Part-Time",186.8,186.9,175.5
"Median Wage",2015,"Causeway Coast and Glens","Hourly (excluding overtime)","All",8.77,8.63,8.81
"Median Wage",2015,"Causeway Coast and Glens","Hourly (excluding overtime)","Full-Time",9.1,9.69,8.95
"Median Wage",2015,"Causeway Coast and Glens","Hourly (excluding overtime)","Part-Time",7.86,7.92,NA
"Median Wage",2015,"Causeway Coast and Glens","Weekly","All",301.8,258.7,339.5
"Median Wage",2015,"Causeway Coast and Glens","Weekly","Full-Time",394.5,390.6,395
"Median Wage",2015,"Causeway Coast and Glens","Weekly","Part-Time",149,147,NA
"Median Wage",2015,"Derry City and Strabane","Hourly (excluding overtime)","All",10.12,10.42,9.52
"Median Wage",2015,"Derry City and Strabane","Hourly (excluding overtime)","Full-Time",11.56,12.89,10.46
"Median Wage",2015,"Derry City and Strabane","Hourly (excluding overtime)","Part-Time",7.67,7.9,7.11
"Median Wage",2015,"Derry City and Strabane","Weekly","All",356.1,311.3,374.9
"Median Wage",2015,"Derry City and Strabane","Weekly","Full-Time",461.6,497.5,414
"Median Wage",2015,"Derry City and Strabane","Weekly","Part-Time",155.5,164,136.5
"Median Wage",2015,"Fermanagh and Omagh","Hourly (excluding overtime)","All",9.51,9.31,9.57
"Median Wage",2015,"Fermanagh and Omagh","Hourly (excluding overtime)","Full-Time",10.7,11.47,10.29
"Median Wage",2015,"Fermanagh and Omagh","Hourly (excluding overtime)","Part-Time",7.6,8.01,6.82
"Median Wage",2015,"Fermanagh and Omagh","Weekly","All",342,292.4,387
"Median Wage",2015,"Fermanagh and Omagh","Weekly","Full-Time",440.2,438.3,441.6
"Median Wage",2015,"Fermanagh and Omagh","Weekly","Part-Time",153.3,169.3,NA
"Median Wage",2015,"Lisburn and Castlereagh","Hourly (excluding overtime)","All",9.85,9.51,10.25
"Median Wage",2015,"Lisburn and Castlereagh","Hourly (excluding overtime)","Full-Time",11.11,11.71,10.72
"Median Wage",2015,"Lisburn and Castlereagh","Hourly (excluding overtime)","Part-Time",7.76,7.87,7.46
"Median Wage",2015,"Lisburn and Castlereagh","Weekly","All",369.2,289.5,415.6
"Median Wage",2015,"Lisburn and Castlereagh","Weekly","Full-Time",460,438.8,462.4
"Median Wage",2015,"Lisburn and Castlereagh","Weekly","Part-Time",153.6,159.6,147.4
"Median Wage",2015,"Mid and East Antrim","Hourly (excluding overtime)","All",9.95,8.91,11.17
"Median Wage",2015,"Mid and East Antrim","Hourly (excluding overtime)","Full-Time",11.35,9.66,11.63
"Median Wage",2015,"Mid and East Antrim","Hourly (excluding overtime)","Part-Time",8.02,7.98,8.05
"Median Wage",2015,"Mid and East Antrim","Weekly","All",373.5,295,426.7
"Median Wage",2015,"Mid and East Antrim","Weekly","Full-Time",453,423.6,472.2
