"Statistic","Year","Local Government District","Working Pattern","Female","Male","All Persons"
"Number of Jobs (Thousands)",2020,"Derry City and Strabane","All Jobs",39,35,75
"Number of Jobs (Thousands)",2020,"Derry City and Strabane","Full Time",20,26,46
"Number of Jobs (Thousands)",2020,"Derry City and Strabane","Part Time",19,9,28
"Number of Jobs (Thousands)",2020,"Fermanagh and Omagh","All Jobs",29,24,53
"Number of Jobs (Thousands)",2020,"Fermanagh and Omagh","Full Time",14,20,34
"Number of Jobs (Thousands)",2020,"Fermanagh and Omagh","Part Time",15,NA,19
"Number of Jobs (Thousands)",2020,"Lisburn and Castlereagh","All Jobs",39,36,75
"Number of Jobs (Thousands)",2020,"Lisburn and Castlereagh","Full Time",22,29,51
"Number of Jobs (Thousands)",2020,"Lisburn and Castlereagh","Part Time",17,7,24
"Number of Jobs (Thousands)",2020,"Mid and East Antrim","All Jobs",27,28,54
"Number of Jobs (Thousands)",2020,"Mid and East Antrim","Full Time",15,23,38
"Number of Jobs (Thousands)",2020,"Mid and East Antrim","Part Time",12,NA,16
"Number of Jobs (Thousands)",2020,"Mid Ulster","All Jobs",28,43,70
"Number of Jobs (Thousands)",2020,"Mid Ulster","Full Time",15,35,50
"Number of Jobs (Thousands)",2020,"Mid Ulster","Part Time",12,8,20
"Number of Jobs (Thousands)",2020,"Newry, Mourne and Down","All Jobs",42,37,79
"Number of Jobs (Thousands)",2020,"Newry, Mourne and Down","Full Time",24,31,55
"Number of Jobs (Thousands)",2020,"Newry, Mourne and Down","Part Time",18,7,25
"Number of Jobs (Thousands)",2020,"Northern Ireland","All Jobs",508,494,1002
"Number of Jobs (Thousands)",2020,"Northern Ireland","Full Time",292,413,705
"Number of Jobs (Thousands)",2020,"Northern Ireland","Part Time",216,81,297
"Number of Jobs (Thousands)",2021,"Antrim and Newtownabbey","All Jobs",40,36,77
"Number of Jobs (Thousands)",2021,"Antrim and Newtownabbey","Full Time",23,31,54
"Number of Jobs (Thousands)",2021,"Antrim and Newtownabbey","Part Time",17,5,23
"Number of Jobs (Thousands)",2021,"Ards and North Down","All Jobs",31,23,54
"Number of Jobs (Thousands)",2021,"Ards and North Down","Full Time",14,18,33
"Number of Jobs (Thousands)",2021,"Ards and North Down","Part Time",17,NA,22
"Number of Jobs (Thousands)",2021,"Armagh City, Banbridge and Craigavon","All Jobs",62,54,116
"Number of Jobs (Thousands)",2021,"Armagh City, Banbridge and Craigavon","Full Time",34,44,78
