"Statistic","Year","Local Government District","Working Pattern","All Persons","Females","Males"
"Number of Jobs (Thousands)",2022,"Causeway Coast and Glens","All",46,25,22
"Number of Jobs (Thousands)",2022,"Causeway Coast and Glens","Full-Time",33,14,19
"Number of Jobs (Thousands)",2022,"Causeway Coast and Glens","Part-Time",NA,NA,NA
"Number of Jobs (Thousands)",2022,"Derry City and Strabane","All",67,34,33
"Number of Jobs (Thousands)",2022,"Derry City and Strabane","Full-Time",48,20,27
"Number of Jobs (Thousands)",2022,"Derry City and Strabane","Part-Time",20,14,NA
"Number of Jobs (Thousands)",2022,"Fermanagh and Omagh","All",48,26,22
"Number of Jobs (Thousands)",2022,"Fermanagh and Omagh","Full-Time",32,14,18
"Number of Jobs (Thousands)",2022,"Fermanagh and Omagh","Part-Time",NA,NA,NA
"Number of Jobs (Thousands)",2022,"Lisburn and Castlereagh","All",68,35,32
"Number of Jobs (Thousands)",2022,"Lisburn and Castlereagh","Full-Time",49,21,28
"Number of Jobs (Thousands)",2022,"Lisburn and Castlereagh","Part-Time",19,14,NA
"Number of Jobs (Thousands)",2022,"Mid and East Antrim","All",52,29,24
"Number of Jobs (Thousands)",2022,"Mid and East Antrim","Full-Time",37,16,21
"Number of Jobs (Thousands)",2022,"Mid and East Antrim","Part-Time",16,12,NA
"Number of Jobs (Thousands)",2022,"Mid Ulster","All",64,27,37
"Number of Jobs (Thousands)",2022,"Mid Ulster","Full-Time",48,16,32
"Number of Jobs (Thousands)",2022,"Mid Ulster","Part-Time",NA,11,NA
"Number of Jobs (Thousands)",2022,"Newry, Mourne and Down","All",70,37,33
"Number of Jobs (Thousands)",2022,"Newry, Mourne and Down","Full-Time",49,20,29
"Number of Jobs (Thousands)",2022,"Newry, Mourne and Down","Part-Time",21,17,NA
"Number of Jobs (Thousands)",2022,"Ards and North Down","All",44,27,18
"Number of Jobs (Thousands)",2022,"Ards and North Down","Full-Time",27,13,13
"Number of Jobs (Thousands)",2022,"Ards and North Down","Part-Time",18,14,NA
"Number of Jobs (Thousands)",2023,"Northern Ireland","All",867,444,424
"Number of Jobs (Thousands)",2023,"Northern Ireland","Full-Time",620,259,361
"Number of Jobs (Thousands)",2023,"Northern Ireland","Part-Time",247,184,63
"Number of Jobs (Thousands)",2023,"Antrim and Newtownabbey","All",59,32,27
"Number of Jobs (Thousands)",2023,"Antrim and Newtownabbey","Full-Time",44,19,24
"Number of Jobs (Thousands)",2023,"Antrim and Newtownabbey","Part-Time",16,13,NA
"Number of Jobs (Thousands)",2023,"Armagh City, Banbridge and Craigavon","All",91,49,43
"Number of Jobs (Thousands)",2023,"Armagh City, Banbridge and Craigavon","Full-Time",63,26,37
"Number of Jobs (Thousands)",2023,"Armagh City, Banbridge and Craigavon","Part-Time",29,23,NA
"Number of Jobs (Thousands)",2023,"Belfast","All",260,134,126
"Number of Jobs (Thousands)",2023,"Belfast","Full-Time",199,89,111
"Number of Jobs (Thousands)",2023,"Belfast","Part-Time",61,45,16
"Number of Jobs (Thousands)",2023,"Causeway Coast and Glens","All",46,24,21
